time period; condition; guess; reaction time
future; False; future; 8.717019399999117
past; False; past; 1.0693657000010717
future; True; future; 3.1837672000001476
past; False; past; 1.2854029999980412
future; False; future; 1.2035607999969216
future; True; future; 6.874032100000477
